"TransitOperation","${L_Model$$TransitOperation}"
"Consignment/DepartureTransportMeans/nationality/Description","${L_Model$$Consignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans} > ${L_Model$$Nationality} > ${Description}"
"Consignment/DepartureTransportMeans/nationality/ValidFrom","${L_Model$$Consignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans} > ${L_Model$$Nationality} > ${Valid from}"
"Consignment/DepartureTransportMeans/nationality/ValidTo","${L_Model$$Consignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans} > ${L_Model$$Nationality} > ${Valid to}"
"Consignment/DepartureTransportMeans/nationality/Lng","${L_Model$$Consignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans} > ${L_Model$$Nationality} > ${Description language}"
"Consignment/DepartureTransportMeans/nationality/_description","${L_Model$$Consignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans} > ${L_Model$$Nationality} > ${_ description}"
"Consignment/HouseConsignment","${L_Model$$Consignment} > ${L_Model$$HouseConsignment}"
"Consignment/HouseConsignment[]","${L_Model$$Consignment} > ${L_Model$$HouseConsignment} ${IX_HouseConsignment}"
"Consignment/HouseConsignment/DepartureTransportMeans","${L_Model$$Consignment} > ${L_Model$$HouseConsignment} ${IX_HouseConsignment} > ${L_Model$$DepartureTransportMeans}"
"Consignment/HouseConsignment/DepartureTransportMeans[]","${L_Model$$Consignment} > ${L_Model$$HouseConsignment} ${IX_HouseConsignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans}"
"Consignment/HouseConsignment/DepartureTransportMeans/typeOfIdentification","${L_Model$$Consignment} > ${L_Model$$HouseConsignment} ${IX_HouseConsignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans} > ${L_Model$$TypeOfIdentification}"
"Consignment/HouseConsignment/DepartureTransportMeans/typeOfIdentification/Code","${L_Model$$Consignment} > ${L_Model$$HouseConsignment} ${IX_HouseConsignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans} > ${L_Model$$TypeOfIdentification} > ${TypeOfIdentification}"
"Consignment/HouseConsignment/DepartureTransportMeans/typeOfIdentification/Description","${L_Model$$Consignment} > ${L_Model$$HouseConsignment} ${IX_HouseConsignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans} > ${L_Model$$TypeOfIdentification} > ${Description}"
"Consignment/HouseConsignment/DepartureTransportMeans/typeOfIdentification/ValidFrom","${L_Model$$Consignment} > ${L_Model$$HouseConsignment} ${IX_HouseConsignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans} > ${L_Model$$TypeOfIdentification} > ${Valid from}"
"Consignment/HouseConsignment/DepartureTransportMeans/typeOfIdentification/ValidTo","${L_Model$$Consignment} > ${L_Model$$HouseConsignment} ${IX_HouseConsignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans} > ${L_Model$$TypeOfIdentification} > ${Valid to}"
"Consignment/HouseConsignment/DepartureTransportMeans/typeOfIdentification/Lng","${L_Model$$Consignment} > ${L_Model$$HouseConsignment} ${IX_HouseConsignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans} > ${L_Model$$TypeOfIdentification} > ${Description language}"
"Consignment/HouseConsignment/DepartureTransportMeans/typeOfIdentification/_description","${L_Model$$Consignment} > ${L_Model$$HouseConsignment} ${IX_HouseConsignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans} > ${L_Model$$TypeOfIdentification} > ${_ description}"
"Consignment/HouseConsignment/DepartureTransportMeans/identificationNumber","${L_Model$$Consignment} > ${L_Model$$HouseConsignment} ${IX_HouseConsignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans} > ${L_Model$$IdentificationNumber}"
"Consignment/HouseConsignment/DepartureTransportMeans/nationality","${L_Model$$Consignment} > ${L_Model$$HouseConsignment} ${IX_HouseConsignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans} > ${L_Model$$Nationality}"
"Consignment/HouseConsignment/DepartureTransportMeans/nationality/Code","${L_Model$$Consignment} > ${L_Model$$HouseConsignment} ${IX_HouseConsignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans} > ${L_Model$$Nationality} > ${Nationality}"
"Consignment/HouseConsignment/DepartureTransportMeans/nationality/Description","${L_Model$$Consignment} > ${L_Model$$HouseConsignment} ${IX_HouseConsignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans} > ${L_Model$$Nationality} > ${Description}"
"Consignment/HouseConsignment/DepartureTransportMeans/nationality/ValidFrom","${L_Model$$Consignment} > ${L_Model$$HouseConsignment} ${IX_HouseConsignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans} > ${L_Model$$Nationality} > ${Valid from}"
"Consignment/HouseConsignment/DepartureTransportMeans/nationality/ValidTo","${L_Model$$Consignment} > ${L_Model$$HouseConsignment} ${IX_HouseConsignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans} > ${L_Model$$Nationality} > ${Valid to}"
"Consignment/HouseConsignment/DepartureTransportMeans/nationality/Lng","${L_Model$$Consignment} > ${L_Model$$HouseConsignment} ${IX_HouseConsignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans} > ${L_Model$$Nationality} > ${Description language}"
"Consignment/HouseConsignment/DepartureTransportMeans/nationality/_description","${L_Model$$Consignment} > ${L_Model$$HouseConsignment} ${IX_HouseConsignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans} > ${L_Model$$Nationality} > ${_ description}"
